player_name,club,position,age,nationality,market_value_eur,contract_months_remaining,fb_player_name,fb_club,minutes_played,goals,assists,goals_per_90,assists_per_90,match_score,mins,yellow_cards,shots_per_game,pass_success_pct,aerials_won,rating,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,avg_passes_per_game,crosses_per_game,long_balls_per_game,through_balls_per_game,xg,xg_diff,xg_per_shot,position_group,is_striker,is_winger,is_attacking_mid,is_central_mid,is_cdm,is_fullback,is_goalkeeper,nationality_group,is_brazilian,is_french,is_english,is_spanish,is_german,is_argentinian,is_portuguese,is_african,is_asian,is_south_american_other
William Saliba,Arsenal FC,Centre-Back,24,France,90000000.0,51,William Saliba,Arsenal FC,2074.0,1.0,0.0,0.0434,0.0,100.0,2076.0,1.0,0.2,92.7,2.4,6.89,1.2,0.6,0.7,4.1,0.2,0.2,0.3,0.2,0.6,70.0,0.2,1.8,0.1,1.57,-0.57,0.31,centre_back,0,0,0,0,0,0,0,french,0,1,0,0,0,0,0,0,0,0
Piero Hincapié,Arsenal FC,Centre-Back,24,Ecuador,50000000.0,3,Piero Hincapié,Arsenal FC,1503.0,1.0,2.0,0.0599,0.1198,100.0,1504.0,2.0,0.1,89.2,1.4,6.84,1.9,1.0,0.8,3.6,0.5,0.3,0.6,0.2,0.6,35.3,0.2,1.0,0.0,0.47,0.53,0.23,centre_back,0,0,0,0,0,0,0,south_american_other,0,0,0,0,0,0,0,0,0,1
Cristhian Mosquera,Arsenal FC,Centre-Back,21,Spain,35000000.0,51,Cristhian Mosquera,Arsenal FC,673.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,centre_back,0,0,0,0,0,0,0,spanish,0,0,0,1,0,0,0,0,0,0
Riccardo Calafiori,Arsenal FC,Left-Back,23,Italy,50000000.0,39,Riccardo Calafiori,Arsenal FC,1448.0,1.0,2.0,0.0622,0.1243,100.0,1458.0,5.0,1.3,85.4,1.8,6.83,1.4,0.6,1.1,2.2,0.4,0.1,0.2,0.6,0.4,29.6,0.1,0.8,0.0,2.66,-1.66,0.1,fullback,0,0,0,0,0,1,0,other_europe,0,0,0,0,0,0,0,0,0,0
Myles Lewis-Skelly,Arsenal FC,Left-Back,19,England,35000000.0,51,Myles Lewis-Skelly,Arsenal FC,321.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fullback,0,0,0,0,0,1,0,english,0,0,1,0,0,0,0,0,0,0
Jurriën Timber,Arsenal FC,Right-Back,24,Netherlands,70000000.0,27,Jurriën Timber,Arsenal FC,2454.0,3.0,5.0,0.11,0.1834,100.0,2457.0,5.0,0.8,85.3,1.3,6.96,2.2,0.8,1.3,1.8,0.3,0.2,0.9,0.4,1.0,36.2,0.2,0.7,0.1,5.0,-2.0,0.2,fullback,0,0,0,0,0,1,0,other_europe,0,0,0,0,0,0,0,0,0,0
Ben White,Arsenal FC,Right-Back,28,England,30000000.0,27,Ben White,Arsenal FC,411.0,0.0,1.0,0.0,0.219,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fullback,0,0,0,0,0,1,0,english,0,0,1,0,0,0,0,0,0,0
Martín Zubimendi,Arsenal FC,Defensive Midfield,27,Spain,80000000.0,51,Martín Zubimendi,Arsenal FC,2596.0,5.0,1.0,0.1733,0.0347,100.0,2606.0,4.0,0.8,88.2,1.9,6.96,1.7,1.1,0.9,2.1,0.5,0.2,0.5,0.2,0.3,54.6,0.1,1.5,0.1,3.04,1.96,0.12,cdm,0,0,0,0,1,0,0,spanish,0,0,0,1,0,0,0,0,0,0
Christian Nørgaard,Arsenal FC,Defensive Midfield,32,Denmark,7000000.0,15,Christian Nørgaard,Arsenal FC,61.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cdm,0,0,0,0,1,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Declan Rice,Arsenal FC,Central Midfield,27,England,120000000.0,27,Declan Rice,Arsenal FC,2581.0,4.0,5.0,0.1395,0.1744,100.0,2585.0,2.0,1.2,87.8,1.5,7.32,1.9,1.0,0.7,2.2,0.4,0.4,1.9,0.4,0.3,59.9,1.4,2.4,0.1,3.2,0.8,0.09,central_mid,0,0,0,1,0,0,0,english,0,0,1,0,0,0,0,0,0,0
