player_name,club,age,position,position_group_ws,apps,minutes_played,goals,assists,goals_per_90,assists_per_90,yellow_cards,shots_per_game,pass_success_pct,aerials_won,rating,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,avg_passes_per_game,crosses_per_game,long_balls_per_game,through_balls_per_game,xg,xg_diff,xg_per_shot,nationality,position_tm,contract_months_remaining,market_value_eur,position_group,is_striker,is_winger,is_attacking_mid,is_central_mid,is_cdm,is_fullback,is_goalkeeper,nationality_group,is_brazilian,is_french,is_english,is_spanish,is_german,is_argentinian,is_portuguese,is_african,is_asian,is_south_american_other
Kepa Arrizabalaga,Bournemouth,31,GK,goalkeeper,31.0,2790.0,0.0,0.0,0.0,0.0,3.0,0.0,70.4,0.3,6.7,0.0,0.0,0.1,1.2,0.1,0.0,0.0,0.0,0.2,29.1,0.0,5.6,0.0,0.06,-0.06,0.06,Spain,Goalkeeper,18,10000000.0,goalkeeper,0,0,0,0,0,0,1,spanish,0,0,0,1,0,0,0,0,0,0
Chris Richards,Crystal Palace,25,DMC,cdm,24.0,1925.0,1.0,0.0,0.0468,0.0,2.0,0.5,81.3,2.0,6.7,2.0,0.8,0.5,4.7,0.7,0.6,0.1,0.0,0.2,34.7,0.0,1.2,0.0,1.78,-0.78,0.15,United States,Centre-Back,18,14000000.0,centre_back,0,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Keane Lewis-Potter,Brentford,25,FW,striker,38.0,3103.0,1.0,3.0,0.029,0.087,7.0,0.7,80.5,0.7,6.7,1.3,0.6,0.5,1.7,0.5,0.3,0.7,1.1,0.8,27.6,0.7,1.7,0.1,2.62,-1.62,0.09,England,Left Midfield,18,23000000.0,winger,0,1,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
James Garner,Everton,25,M(CR),central_mid,21.0,1595.0,0.0,1.0,0.0,0.0564,5.0,0.6,82.1,0.5,6.7,2.2,1.1,1.0,1.6,0.8,0.2,0.6,0.3,0.7,33.2,0.7,1.3,0.0,0.54,-0.54,0.04,England,Defensive Midfield,18,18000000.0,cdm,0,0,0,0,1,0,0,english,0,0,1,0,0,0,0,0,0,0
Matthijs de Ligt,Man Utd,26,D(C),centre_back,29.0,2128.0,2.0,0.0,0.0846,0.0,3.0,0.6,90.4,2.0,6.69,1.0,1.1,0.6,3.1,0.3,0.7,0.2,0.1,0.4,47.2,0.1,1.1,0.0,2.66,-0.66,0.15,Netherlands,Centre-Back,18,38000000.0,centre_back,0,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Yerson Mosquera,Wolves,24,D(C),centre_back,5.0,442.0,0.0,0.0,0.0,0.0,2.0,0.4,86.1,2.2,6.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia,Centre-Back,18,8000000.0,centre_back,0,0,0,0,0,0,0,south_american_other,0,0,0,0,0,0,0,0,0,1
Sepp van den Berg,Brentford,24,M(R),winger,31.0,2589.0,0.0,0.0,0.0,0.0,3.0,0.6,85.7,3.0,6.68,1.3,0.7,0.7,4.2,0.3,1.2,0.2,0.1,0.2,39.0,0.1,1.2,0.0,2.15,-2.15,0.11,Netherlands,Centre-Back,18,22000000.0,centre_back,0,0,0,0,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Nélson Semedo,Wolves,32,M(R),winger,34.0,2896.0,0.0,4.0,0.0,0.1243,8.0,0.5,82.2,0.8,6.68,1.8,0.7,1.4,2.5,0.7,0.3,0.7,0.9,0.9,32.1,0.5,1.1,0.0,1.07,-1.07,0.06,Portugal,Right-Back,18,9000000.0,fullback,0,0,0,0,0,1,0,portuguese,0,0,0,0,0,0,1,0,0,0
Marc Cucurella,Chelsea,27,M(L),winger,36.0,2991.0,5.0,1.0,0.1505,0.0301,8.0,0.7,88.7,0.9,6.68,1.9,0.8,1.0,2.2,0.8,0.4,0.5,0.1,1.1,45.4,0.1,1.2,0.1,3.09,1.91,0.13,Spain,Left-Back,18,35000000.0,fullback,0,0,0,0,0,1,0,spanish,0,0,0,1,0,0,0,0,0,0
Harry Maguire,Man Utd,33,D(C),centre_back,27.0,1758.0,1.0,0.0,0.0512,0.0,7.0,0.6,86.1,2.4,6.68,1.1,1.5,0.7,2.9,0.2,0.4,0.3,0.1,0.4,41.4,0.0,2.1,0.0,2.54,-1.54,0.17,England,Centre-Back,18,13000000.0,centre_back,0,0,0,0,0,0,0,english,0,0,1,0,0,0,0,0,0,0
Tino Livramento,Newcastle,23,D(LR),fullback,37.0,2842.0,0.0,1.0,0.0,0.0317,1.0,0.2,87.4,0.7,6.68,1.5,0.6,0.2,2.5,0.7,0.3,0.7,0.7,0.9,36.6,0.3,0.6,0.0,0.38,-0.38,0.06,England,Right-Back,18,40000000.0,fullback,0,0,0,0,0,1,0,english,0,0,1,0,0,0,0,0,0,0
Dean Henderson,Crystal Palace,29,GK,goalkeeper,38.0,3420.0,0.0,0.0,0.0,0.0,3.0,0.0,57.4,0.3,6.6,0.1,0.0,0.0,1.1,0.1,0.0,0.1,0.0,0.1,28.9,0.0,4.6,0.0,0.03,-0.03,0.03,England,Goalkeeper,18,20000000.0,goalkeeper,0,0,0,0,0,0,1,english,0,0,1,0,0,0,0,0,0,0
Adama Traoré,Fulham,30,FW,striker,36.0,1770.0,2.0,7.0,0.1017,0.3559,3.0,1.1,81.2,0.7,6.59,0.6,0.0,0.7,0.1,0.2,0.0,1.2,1.3,0.9,13.4,0.8,0.3,0.0,5.27,-3.27,0.14,Spain,Right Winger,18,9000000.0,winger,0,1,0,0,0,0,0,spanish,0,0,0,1,0,0,0,0,0,0
Yasin Ayari,Brighton,22,M(C),central_mid,34.0,1971.0,2.0,1.0,0.0913,0.0457,4.0,0.8,85.4,0.5,6.59,1.7,0.6,1.1,0.7,0.9,0.2,0.9,0.5,0.8,26.5,0.6,0.4,0.0,2.39,-0.39,0.09,Sweden,Central Midfield,18,22000000.0,central_mid,0,0,0,1,0,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Mats Wieffer,Brighton,26,DMC,cdm,25.0,1008.0,1.0,4.0,0.0893,0.3571,6.0,0.4,86.4,1.4,6.58,2.3,0.7,0.9,1.0,0.6,0.1,0.6,0.3,0.4,25.9,0.1,0.8,0.0,1.2,-0.2,0.13,Netherlands,Defensive Midfield,18,25000000.0,cdm,0,0,0,0,1,0,0,other_europe,0,0,0,0,0,0,0,0,0,0
Ashley Young,Everton,40,M(LR),winger,32.0,1872.0,1.0,3.0,0.0481,0.1442,7.0,0.2,73.5,0.3,6.58,1.8,0.8,0.9,1.8,0.7,0.1,0.8,0.2,0.7,23.0,0.6,1.9,0.1,0.29,0.71,0.05,England,Right-Back,18,500000.0,fullback,0,0,0,0,0,1,0,english,0,0,1,0,0,0,0,0,0,0
Andy Robertson,Liverpool,32,M(L),winger,33.0,2493.0,0.0,1.0,0.0,0.0361,3.0,0.5,88.0,0.2,6.57,1.2,0.6,0.3,1.3,0.6,0.1,1.2,0.2,0.2,46.7,1.0,1.8,0.1,1.2,-1.2,0.08,Scotland,Left-Back,18,18000000.0,fullback,0,0,0,0,0,1,0,other_europe,0,0,0,0,0,0,0,0,0,0
