player_name,club,age,position,position_group_ws,apps,minutes_played,goals,assists,goals_per_90,assists_per_90,yellow_cards,shots_per_game,pass_success_pct,aerials_won,rating,tackles_per_game,interceptions_per_game,fouls_per_game,clearances_per_game,dribbled_past_per_game,blocks_per_game,key_passes_per_game,dribbles_per_game,fouled_per_game,avg_passes_per_game,crosses_per_game,long_balls_per_game,through_balls_per_game,xg,xg_diff,xg_per_shot,market_value_eur,nationality,position_tm,contract_months_remaining,tm_match_score
David Raya,Arsenal,30,GK,goalkeeper,38.0,3420.0,0.0,0.0,0.0,0.0,3.0,0.0,70.6,0.4,6.73,0.0,0.1,0.0,0.8,0.1,0.0,0.0,0.0,0.3,32.4,0.0,4.5,0.0,0.0,0.0,0.0,35000000.0,Spain,Goalkeeper,,100.0
Wesley Fofana,Chelsea,25,D(CR),centre_back,14.0,1176.0,0.0,0.0,0.0,0.0,7.0,0.2,90.8,1.9,6.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000000.0,France,Centre-Back,,100.0
Harvey Barnes,Newcastle,28,AM(CLR),attacking_mid,33.0,1756.0,9.0,4.0,0.4613,0.205,0.0,1.9,82.1,0.2,6.72,0.5,0.2,0.5,0.3,0.2,0.1,0.8,0.7,0.7,16.6,0.4,0.2,0.0,7.84,1.16,0.12,32000000.0,England,Left Winger,,100.0
Jan Paul van Hecke,Brighton,25,D(C),centre_back,34.0,2961.0,1.0,0.0,0.0304,0.0,6.0,0.5,88.5,2.4,6.72,1.3,0.7,0.7,4.1,0.5,0.6,0.4,0.1,0.7,66.6,0.1,4.0,0.1,1.23,-0.23,0.07,35000000.0,Netherlands,Centre-Back,,100.0
Tyler Adams,Bournemouth,27,M(CR),central_mid,28.0,1966.0,0.0,3.0,0.0,0.1373,7.0,0.3,84.9,1.1,6.72,3.0,1.1,1.6,1.3,1.2,0.4,0.6,0.1,0.8,37.7,0.0,0.7,0.0,1.36,-1.36,0.15,25000000.0,United States,Defensive Midfield,,100.0
Mateus Fernandes,Southampton,21,AM(CL),attacking_mid,36.0,2923.0,2.0,4.0,0.0616,0.1232,8.0,1.2,84.5,0.4,6.71,2.5,0.8,1.3,0.8,1.1,0.2,0.9,1.4,1.5,34.3,0.9,1.6,0.1,4.88,-2.88,0.12,35000000.0,Portugal,Central Midfield,,100.0
Emiliano Martínez,Aston Villa,33,GK,goalkeeper,37.0,3198.0,0.0,0.0,0.0,0.0,5.0,0.0,77.0,0.3,6.71,0.1,0.0,0.1,0.5,0.0,0.0,0.1,0.0,0.2,33.7,0.0,5.5,0.0,0.0,0.0,0.0,15000000.0,Argentina,Goalkeeper,,100.0
Ayden Heaven,Man Utd,19,D(C),centre_back,4.0,171.0,0.0,0.0,0.0,0.0,1.0,0.5,85.7,0.5,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000.0,England,Centre-Back,,100.0
Lukasz Fabianski,West Ham,40,GK,goalkeeper,14.0,1161.0,0.0,0.0,0.0,0.0,2.0,0.0,63.6,0.3,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,Poland,Goalkeeper,,100.0
Nico González,Man City,24,M(C),central_mid,11.0,763.0,1.0,0.0,0.118,0.0,3.0,0.8,92.3,1.5,6.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000000.0,Spain,Defensive Midfield,,100.0
